site,upedonid,pedlabsampnum,pedon_key,labsampnum,hzn_top,hzn_bot,theta_r,theta_s,alpha,npar,w3cld,w15I2,ds_13b
2102,S05HI001006,05N0578,32500,05N03366,10,53,0.126021002898004,0.64187821267093,-2.82461326701004,0.330430174135914,105.8000031,NULL,0.57
2102,S05HI001006,05N0578,32500,05N03367,53,81,0.114259039124748,0.634324150781963,-2.75571469351832,0.299144099723947,98.5999985,NULL,0.59
2102,S05HI001006,05N0578,32500,05N03367,53,81,0.114259039124748,0.634324150781963,-2.75571469351832,0.299144099723947,98.5999985,NULL,0.59
2102,S05HI001006,05N0578,32500,05N03367,53,81,0.114259039124748,0.634324150781963,-2.75571469351832,0.299144099723947,98.5999985,NULL,0.59
2102,S05HI001006,05N0578,32500,05N03367,53,81,0.114259039124748,0.634324150781963,-2.75571469351832,0.299144099723947,98.5999985,NULL,0.59
2102,S05HI001006,05N0578,32500,05N03367,53,81,0.114259039124748,0.634324150781963,-2.75571469351832,0.299144099723947,98.5999985,NULL,0.59
2102,S05HI001006,05N0578,32500,05N03367,53,81,0.114259039124748,0.634324150781963,-2.75571469351832,0.299144099723947,98.5999985,NULL,0.59
2102,S05HI001006,05N0578,32500,05N03367,53,81,0.114259039124748,0.634324150781963,-2.75571469351832,0.299144099723947,98.5999985,NULL,0.59
2102,S05HI001006,05N0578,32500,05N03367,53,81,0.114259039124748,0.634324150781963,-2.75571469351832,0.299144099723947,98.5999985,NULL,0.59
2102,S05HI001006,05N0578,32500,05N03367,53,81,0.114259039124748,0.634324150781963,-2.75571469351832,0.299144099723947,98.5999985,NULL,0.59
2102,S05HI001006,05N0578,32500,05N03367,53,81,0.114259039124748,0.634324150781963,-2.75571469351832,0.299144099723947,98.5999985,NULL,0.59
2102,S05HI001006,05N0578,32500,05N03367,53,81,0.114259039124748,0.634324150781963,-2.75571469351832,0.299144099723947,98.5999985,NULL,0.59
2102,S05HI001006,05N0578,32500,05N03367,53,81,0.114259039124748,0.634324150781963,-2.75571469351832,0.299144099723947,98.5999985,NULL,0.59
2102,S05HI001006,05N0578,32500,05N03367,53,81,0.114259039124748,0.634324150781963,-2.75571469351832,0.299144099723947,98.5999985,NULL,0.59
2102,S05HI001006,05N0578,32500,05N03367,53,81,0.114259039124748,0.634324150781963,-2.75571469351832,0.299144099723947,98.5999985,NULL,0.59
2102,S05HI001006,05N0578,32500,05N03367,53,81,0.114259039124748,0.634324150781963,-2.75571469351832,0.299144099723947,98.5999985,NULL,0.59
2102,S05HI001006,05N0578,32500,05N03367,53,81,0.114259039124748,0.634324150781963,-2.75571469351832,0.299144099723947,98.5999985,NULL,0.59
2102,S05HI001006,05N0578,32500,05N03368,81,105,0.089580979515527,0.619999917980072,-2.43986736812776,0.208941841709814,81.3000031,NULL,0.63
2102,S05HI001006,05N0578,32500,05N03368,81,105,0.089580979515527,0.619999917980072,-2.43986736812776,0.208941841709814,81.3000031,NULL,0.63
2102,S05HI001006,05N0578,32500,05N03368,81,105,0.089580979515527,0.619999917980072,-2.43986736812776,0.208941841709814,81.3000031,NULL,0.63
2102,S05HI001006,05N0578,32500,05N03368,81,105,0.089580979515527,0.619999917980072,-2.43986736812776,0.208941841709814,81.3000031,NULL,0.63
2102,S05HI001006,05N0578,32500,05N03368,81,105,0.089580979515527,0.619999917980072,-2.43986736812776,0.208941841709814,81.3000031,NULL,0.63
2102,S05HI001006,05N0578,32500,05N03368,81,105,0.089580979515527,0.619999917980072,-2.43986736812776,0.208941841709814,81.3000031,NULL,0.63
2102,S05HI001006,05N0578,32500,05N03368,81,105,0.089580979515527,0.619999917980072,-2.43986736812776,0.208941841709814,81.3000031,NULL,0.63
2102,S05HI001006,05N0578,32500,05N03368,81,105,0.089580979515527,0.619999917980072,-2.43986736812776,0.208941841709814,81.3000031,NULL,0.63
2102,S05HI001006,05N0578,32500,05N03368,81,105,0.089580979515527,0.619999917980072,-2.43986736812776,0.208941841709814,81.3000031,NULL,0.63
2102,S05HI001006,05N0578,32500,05N03368,81,105,0.089580979515527,0.619999917980072,-2.43986736812776,0.208941841709814,81.3000031,NULL,0.63
2102,S05HI001006,05N0578,32500,05N03368,81,105,0.089580979515527,0.619999917980072,-2.43986736812776,0.208941841709814,81.3000031,NULL,0.63
2102,S05HI001006,05N0578,32500,05N03368,81,105,0.089580979515527,0.619999917980072,-2.43986736812776,0.208941841709814,81.3000031,NULL,0.63
2102,S05HI001006,05N0578,32500,05N03368,81,105,0.089580979515527,0.619999917980072,-2.43986736812776,0.208941841709814,81.3000031,NULL,0.63
2102,S05HI001006,05N0578,32500,05N03368,81,105,0.089580979515527,0.619999917980072,-2.43986736812776,0.208941841709814,81.3000031,NULL,0.63
2102,S05HI001006,05N0578,32500,05N03368,81,105,0.089580979515527,0.619999917980072,-2.43986736812776,0.208941841709814,81.3000031,NULL,0.63
2102,S05HI001006,05N0578,32500,05N03368,81,105,0.089580979515527,0.619999917980072,-2.43986736812776,0.208941841709814,81.3000031,NULL,0.63
2020,92ND059400,92P1023,19646,92P06344,4,15,0.065942516040364,0.498786200504604,-2.26103310255482,0.179712536933066,33.2000008,NULL,1.09
2020,92ND059400,92P1023,19646,92P06345,15,33,0.05642082281741,0.478415710833291,-1.76140030120423,0.131896343888093,25.3999996,NULL,1.13
2020,92ND059400,92P1023,19646,92P06346,33,63,0.064107780335312,0.455554209358402,-1.81967998578409,0.130135326178372,23.6000004,NULL,1.26
2020,92ND059400,92P1023,19646,92P06347,63,86,0.048340637770002,0.431354018337409,-1.90691600962525,0.142435536204024,21.6000004,NULL,1.28
2020,92ND059400,92P1023,19646,92P06348,86,97,0.057904755720194,0.436995443208614,-1.93391267547747,0.134553562029211,22.7000008,NULL,1.33
2020,92ND059400,92P1023,19646,92P06349,97,140,0.065238422796159,0.438917683922116,-2.30966822622864,0.164598064242328,25.5,NULL,1.39
2020,92ND059400,92P1023,19646,92P06350,140,183,0.07708164091433,0.461940421046856,-2.6419519438175,0.218631532864893,29.8999996,NULL,1.36
2156,S2009UT001001,09N1045,40633,09N04108,0,9,0.080108442217741,0.475046833309436,-2.36157673860906,0.180506662929453,29.8999996,NULL,1.2
2156,S2009UT001001,09N1045,40633,09N04109,9,32,0.085522646913827,0.474080680982143,-2.39891121728705,0.181989586129312,30.2000008,NULL,1.23
2156,S2009UT001001,09N1045,40633,09N04110,32,45,0.072490590958238,0.446967784673038,-2.52621956060032,0.216294160176213,28.2999992,NULL,1.26
2156,S2009UT001001,09N1045,40633,09N04111,45,73,0.069091330895278,0.427960065010093,-2.356031567853,0.170683327466667,24.8999996,NULL,1.36
2149,S2009CA051001,09N0892,40058,09N03219,5,20,0.024985992615128,0.402561297629487,-1.2293551816113,0.168735874059234,8.3000002,NULL,1.38
2149,S2009CA051001,09N0892,40058,09N03220,20,43,0.023534288876053,0.361405432126319,-1.5064220133885,0.133210864934193,10.5,NULL,1.53
2149,S2009CA051001,09N0892,40058,09N03221,43,63,0.026449942142839,0.326095905957767,-1.6317822220663,0.127230112251148,10.5,NULL,1.7
2149,S2009CA051001,09N0892,40058,09N03222,63,91,0.019970151658661,0.299564513109276,-1.81248529475874,0.136071930219591,9.6000004,NULL,1.8
2149,S2009CA051001,09N0892,40058,09N03223,91,120,0.020174407323397,0.313682815764989,-2.02245496936302,0.156267102655945,11.3999996,NULL,1.72
2149,S2009CA051001,09N0892,40058,09N03224,120,152,0.019170904463976,0.314476996426781,-1.70710231542308,0.135531179136896,9.6000004,NULL,1.7
2043,S1998NH009001,99P0062,24097,99P00288,13,18,0.05815793580283,0.572586540812302,-2.5311531721869,0.227259405617421,69.1999969,NULL,0.7
2043,S1998NH009001,99P0062,24097,99P00289,18,25,0.071739764039693,0.605818917480199,-2.34574203095198,0.181741933989071,70.1999969,NULL,0.7
2043,S1998NH009001,99P0062,24097,99P00290,25,40,0.044469129259601,0.506451766473835,-2.40430712320267,0.199855632839221,41.2999992,NULL,0.94
2043,S1998NH009001,99P0062,24097,99P00291,40,61,0.032067821001372,0.396497698616919,-2.4053442556866,0.204780289453433,22,NULL,1.37
2043,S1998NH009001,99P0062,24097,99P00292,61,81,0.019651576463989,0.366461003651067,-2.01170819389085,0.157157716976488,15,NULL,1.46
2004,S1991IL125001,92P0196,18819,92P01294,0,23,0.08569533938312,0.310707207333752,-1.35500561121785,0.335539297737361,7.4000001,NULL,1.76
2004,S1991IL125001,92P0196,18819,92P01295,23,53,0.039728202084864,0.340122261730978,-1.26394354579787,0.204028466066149,7,NULL,1.64
2004,S1991IL125001,92P0196,18819,92P01296,53,66,0.026113454622891,0.316669419020188,-1.40299363420344,0.136906537182992,8,NULL,1.73
2004,S1991IL125001,92P0196,18819,92P01297,66,92,0.049128776865981,0.373562453289523,-2.07501590151318,0.120184761764945,18.7000008,NULL,1.64
2004,S1991IL125001,92P0196,18819,92P01298,92,126,0.036072920215407,0.351603904416197,-2.02240345268892,0.137133828752221,15.1000004,NULL,1.67
2004,S1991IL125001,92P0196,18819,92P01299,126,160,0.028784010311151,0.343827525130114,-1.24678869064328,0.210925231947508,5.3000002,NULL,1.66
2110,S2005MS163001,05N0874,32626,05N04484,0,10,0.096441721754619,0.546114624139163,-1.80957562154328,0.076630423015201,36.7999992,NULL,1.23
2110,S2005MS163001,05N0874,32626,05N04485,10,20,0.099288018125177,0.565174273902148,-1.72078384367336,0.068140607827902,39.5,NULL,1.1900001
2110,S2005MS163001,05N0874,32626,05N04486,20,43,0.098171388308643,0.592143224286256,-1.83300371350595,0.075493417300241,43.9000015,NULL,1.11
